id,month,bank_name,inward_interbank_volume,inward_costumer_volume,inward_total_volume,inward_percentage_volume,inward_interbank_amt,inward_costumer_amt,inward_total_amt,inward_percentage_amt,outward_interbank_volume,outward_costumer_volume,outward_total_volume,outward_percentage_volume,outward_interbank_amt,outward_costumer_amt,outward_total_amt,outward_percentage_amt
23788,01/06/2020,South Indian Bank,3194,57012,60206,0.5,879865.75,980725.66,1860591.41,0.22,1549,82271,83820,0.7,757960.61,1375631.18,2133591.79,0.25
23789,01/06/2020,Standard Chartered Bank,1422,176107,177529,1.48,2717265.26,23785411.93,26502677.19,3.06,3024,129564,132588,1.11,1837928.83,32491730.6,34329659.43,3.97
23790,01/06/2020,State Bank of India,15738,1770718,1786456,14.93,6356000.55,87421691.7,93777692.25,10.84,33125,1409082,1442207,12.05,8938039.08,84588982.61,93527021.69,10.81
23791,01/06/2020,STCI Primary Dealer,85,222,307,0,745510.82,1753152.81,2498663.63,0.29,583,0,583,0,2302042.62,,2302042.62,0.27
23792,01/06/2020,Sumitomo Mitsui Banking Corporation,67,1305,1372,0.01,262135.15,1370101.11,1632236.26,0.19,104,1621,1725,0.01,53453.33,1281911.13,1335364.46,0.15
23793,01/06/2020,Surat National Co-operative Bank,2,780,782,0.01,1.82,6266.44,6268.26,0,0,892,892,0.01,,13255.42,13255.42,0
23794,01/06/2020,Suryoday Small Finance Bank,23,485,508,0,85258.19,30125.03,115383.22,0.01,20,506,526,0,85000,22129.73,107129.73,0.01
23795,01/06/2020,SVC Co-operative Bank,160,18258,18418,0.15,4764.81,272151.07,276915.88,0.03,75,26304,26379,0.22,2927.65,335774.43,338702.08,0.04
23796,01/06/2020,Sindhudurg District Central Co-operative Bank,21,173,194,0,40.14,1238.99,1279.13,0,11,527,538,0,44.88,5822.4,5867.28,0
23797,01/06/2020,Tamilnad Mercantile Bank,1817,52766,54583,0.46,367355.26,547195.03,914550.29,0.11,1512,91144,92656,0.77,293837.25,843851.34,1137688.59,0.13
23798,01/06/2020,Telangana State Co-operative Apex Bank,59,1692,1751,0.01,105619.04,164985.83,270604.87,0.03,43,7950,7993,0.07,71758.96,287876.05,359635.01,0.04
23799,01/06/2020,Textile Traders Co-operative Bank,1,367,368,0,3.06,5187.27,5190.33,0,0,445,445,0,,6129.11,6129.11,0
23800,01/06/2020,Thane Bharat Co-operative Bank,0,878,878,0.01,,7969.92,7969.92,0,0,1009,1009,0.01,,9954.71,9954.71,0
23801,01/06/2020,Thane District Central Co-operative Bank,0,563,563,0,,9582.36,9582.36,0,0,1354,1354,0.01,,15054.83,15054.83,0
23802,01/06/2020,Andhra Pradesh Mahesh Co-operative Urban Bank,124,5002,5126,0.04,8387.49,109678.56,118066.05,0.01,0,7488,7488,0.06,,79570.15,79570.15,0.01
23803,01/06/2020,Ahmedabad Mercantile Co-operative Bank,6,3672,3678,0.03,1263.61,30217.11,31480.72,0,5,3365,3370,0.03,2127,38292.49,40419.49,0
23804,01/06/2020,Akola District Central Co-operative Bank,0,646,646,0.01,,4490.92,4490.92,0,0,1717,1717,0.01,,55553.8,55553.8,0.01
